序号,标题,发文单位,发文时间,文号,政策类别,正文,来源URL
48,"高阳毛巾""变形记""——高阳县建设循环经济示范区提升传统纺织产业的调查",高阳县政府,2018-11-20,,毛巾产业、环保治理、循环经济、产业集群,全国每生产三条毛巾，就有一条产自高阳。这个全国闻名的纺织之乡，发展纺织业已有400余年历史，形成了集纺纱、织造、印染、后整理、销售于一体的完整产业链条，全县从业人员14万余人，纺织业每年对县财政贡献率高达六七成，可谓高阳人的饭碗和钱袋子。然而，纺织产业链中的印染环节会污染水和空气，随着环保约束日益收紧，再不改变，等待高阳纺织印染企业的将是关停的命运。为实现可持续发展，近年来，高阳县紧紧依托国家发改委确定的创建国家循环经济示范县这一优势，大力推进循环经济示范区建设，为高阳纺织产业开辟出一条发展循环经济的新路。环保水平升级——印染污水变成再生水，纺织印染环节产生的废污被吃干榨净。企业绝处逢生——曾经差点迈不过环保坎儿的纺织印染企业集中搬迁升级，更优更强。依靠品质取胜——跳出低价竞争、产品同质的怪圈，创新设计推动纺织业迈向中高端。,http://www.gaoyang.gov.cn/info_show.asp?infoid=5495
49,高阳县2018年政府工作报告,高阳县人民政府,2018-01-31,,纺织行业、环保治理、产业升级、电子商务,"政 府 工 作 报 告
2018年1月31日在高阳县第十七届人民代表大会第二次会议上
高阳县人民政府县长 闫向阳

全年生产总值完成119.7亿元，增长8%；全部财政收入完成11.07亿元，增长7.3%；一般公共预算收入突破7亿元，增长10%；新增规模以上工业企业30家，规模以上工业增加值增长9.2%。

（一）产业转型升级步伐坚定有力。依靠先进技术和设备更新，加快提升产品质量、促进产品转型步伐。工业技改投资完成45.7亿元，同比增长40.2%；全县先进无梭织机达到7200余台，新增2000多台；中高端纺织产品占比达到80%，高阳毛巾在全国同行业中的影响力和话语权不断提升。引进江苏琼派瑞特公司新上后整理自动化先进设备，引领带动县内毛巾生产企业后整理环节向自动化、标准化迈进。支持企业参加中国家纺展、中国针棉织品交易会、广交会和法兰克福展会等国内外展销活动。邦辰众创空间入驻电商企业60余家，三利毛巾线上销售额突破1亿元，上海今迈网上销售额在5000万元以上，龙化乡北龙化村和小王果庄乡李果庄村入围2017年中国淘宝村。

（二）生态环境治理与保护取得积极成效。投资7.2亿元由江苏中圣集团建设的集中供热项目一期2×220吨锅炉投入运行，42家印染企业实现工业用汽，79家用煤大户的118台工业燃煤锅炉全部拆除。",https://gaoyang.gov.cn/info_show.asp?infoid=5665
50,"高阳毛巾""变形记""（三）：创新驱动 让传统产业""新""起来",高阳县政府,2018-12-12,,毛巾产业、品牌建设、数字化转型、纺织行业,"作为传统纺织大县，高阳企业代工生产的国外高端品牌毛巾在国际市场上能卖到1700元一条，而与此同时，由于产品同质化、质量参差不齐，高阳本地品牌的毛巾却卖不上价，高阳一度还被贴上""代工基地""和""低端品牌""的标签。应对高要求，高阳打出精准发力""组合拳""：县财政每年拿出1000万的专项资金，支持纺织企业技术改造和设备更新；引入中国纺织建设规划院、天津工业大学等科研院所，为产业转型注入""源头活水""；并同步出台一系列促进纺织业转型升级的政策方案。高阳县工信局局长董艳杰：我们制订了《关于促进工业设计产业发展的若干政策措施》，我们连续5年，县财政每年拿出200万元，用于支持工业设计的发展。现在，全县利用网上销售纺织产品的企业达到3000多家，年交易额超过170多亿元。高阳县委书记高文才：我们想把纺织产业打造成产值过500亿元的产业集群。",https://gaoyang.gov.cn/info_show.asp?infoid=5509
51,高阳县2019年政府工作报告,高阳县人民政府,2019-01-18,,纺织行业、产业升级、环保治理、数字经济,"政 府 工 作 报 告
2019年1月17日在高阳县第十七届人民代表大会第三次会议上
高阳县人民政府县长 闫向阳

初步预计，全县地区生产总值增长9%；规模以上工业增加值增长10%；固定资产投资增长8.2%；社会消费品零售总额增长12%；全部财政收入完成11.5亿元，一般公共预算收入完成6.6亿元，城乡居民人均可支配收入分别达到2.78万元和1.84万元。

一年来，我们坚持以供给侧结构性改革为主线，抓技改，建园区，上项目，产业转型升级步伐不断加快。①强力支持企业加快技术改造和设备更新，依靠先进技术和设备更新提升产品质量、促进产品转型。全县剑杆织机增至9000余台（套），去年新增1000多台（套），无梭化率达到45%；京阳公司等24家企业被认定为河北省规模以上工业企业研发机构，78件设计产品获国家专利授权；10家企业被认定为高新技术企业，新培育科技型中小企业120家，被中国纺织品商业协会授予""中国领航创新产业集群""荣誉称号。②加快推进循环经济示范区建设，搭建产业转型升级平台。③全力抓好重点项目建设，带动产业转型发展上档升级。11个省市重点项目中战略性新兴产业项目有6个，占比达54.5%。",https://gaoyang.gov.cn/info_show.asp?infoid=5666
52,高阳县纺织产业集群被认定为河北省中小企业示范产业集群（2019年）,河北省工业和信息化厅,2019,,纺织行业、产业集群、政策支持,2019年河北省高阳县纺织产业集群被河北省工业和信息化厅认定为河北省中小企业示范产业集群。高阳县纺织产业集群在河北省107个重点特色产业集群中综合排名第19位，高阳纺织被列入全市数字化赋能传统产业发展试点。这是高阳纺织产业发展的重要里程碑，标志着产业集群发展得到了省级政府的认可和支持。,http://www.gyfzzs.com/about.html
53,高阳毛巾：中国份额三分天下有其一（2019年7月）,河北资本,2019-07-16,,毛巾产业、产业集群、外贸出口,"高阳毛巾：中国份额三分天下有其一——河北县域特色产业集群样本之二。始于明末的高阳纺织业，长期以来代表着中国纺织业发展水平。近二三十年，在纺纱、织布等主产品的主导地位让位于大城市纺织产业后，高阳另辟蹊径，主打毛巾、毛毯等细分行业，使毛巾产量占全国产量的30%，毛毯占20%，出口额近3亿美元，成为省级出口基地。2017年高阳县纺织业实现产值约350亿元，对GDP贡献率达65%以上。企业积极开展技改和技术创新活动，2018年全县剑杆织机增至9000余台（套），新增1000多台（套），无梭化率达到45%；京阳公司等24家企业被认定为河北省规模以上工业企业研发机构，78件设计产品获国家专利授权；10家企业被认定为高新技术企业，新培育科技型中小企业120家，被中国纺织品商业协会授予""中国领航创新产业集群""荣誉称号。",https://www.sohu.com/a/327253777_777747
54,【战疫情 促振兴 河北省县域特色产业在行动】复工复产全速铺开！河北高阳县纺织提速运转,河北省工业和信息化厅,2020-03-20,,纺织行业、产业集群,"河北高阳县是著名的纺织之乡，高阳纺织产业占全县经济70%以上。为做好疫情防控工作，有序推动企业复工复产，该县按照""外防输入内防扩散""的总体要求，县直各部门与企业通力配合，打出疫情防控与复工复产联动""组合拳""，努力实现高阳县疫情防控、复工复产双胜利。截至3月18日，高阳县复工复产企业4182家，其中，103家规上企业实现了全部开工，工业企业复工复产3363家，全县企业共返岗55300人。高阳县是中国最大毛巾生产地，全年毛巾产量50亿条，占据全国三分之一的市场份额。该县拥有纺织专业村98个，拥有纺织企业及个体加工户4000余家。高阳纺织产业主要包括巾被、棉纺、毛纺、毛毯、服装、坐垫和印染7个纺织子行业。",https://gxt.hebei.gov.cn/hbgyhxxht/ztzl11/kjyqgxtzxd/2025042121592090684/index.html
55,【战疫情 促振兴】高阳县纺织企业复工复产全速铺开,河北省工业和信息化厅,2020-03-20,,纺织行业、产业集群,"河北高阳县是著名的纺织之乡，高阳纺织产业占全县经济70%以上。为做好疫情防控工作，有序推动企业复工复产，该县按照""外防输入内防扩散""的总体要求，县直各部门与企业通力配合，打出疫情防控与复工复产联动""组合拳""。截至3月18日，高阳县复工复产企业4182家，其中，103家规上企业实现了全部开工，工业企业复工复产3363家，全县企业共返岗55300人。高阳县是中国最大毛巾生产地，全年毛巾产量50亿条，占据全国三分之一的市场份额。",https://gxt.hebei.gov.cn/hbgyhxxht/ztzl11/kjyqgxtzxd/2025042121592090684/index.html
56,"""纺织之乡""高阳：以创新推动高质量发展",高阳县政府,2020-09-04,,纺织行业、数字化转型、电子商务、环保治理,"作为全国最大的纺织品批发地，在素有""纺织之乡""美称的高阳县，纺织业400多年传承不衰，目前，县内纺织企业达4000余家，年产毛巾50万吨，占全国总产量的30%。近年来，高阳县通过加快绿色转型、注重创新驱动、引进优秀人才和高端产业、突出品牌建设、加快园区项目建设、大力推行""互联网+""等方式，不断推动纺织产业高质量发展。高阳县污水处理厂目前日处理污水能力达到26万吨，100多公里的管网配套使县城和乡镇、重点污染企业连在一起，彻底解决了高阳县各乡镇和印染企业的污染问题。",http://www.gaoyang.gov.cn/info_show.asp?infoid=7955
57,中共高阳县委关于巡视整改进展情况的通报,高阳县政府,2021-11-15,,纺织行业、政策支持、产业集群,"根据省委巡视工作统一部署，省委第七巡视组于2020年10月27日至12月25日，对高阳县开展了常规巡视。2021年3月11日，省委巡视组向高阳县委反馈了巡视意见。

关于""贯彻落实党的理论路线方针政策、党中央决策部署和省委工作要求""问题的整改情况：

二是加快纺织产业转型步伐。制发《高阳县支持民营经济健康发展的十二条措施》，支持企业技改升级、提质发展。目前，全县1895台落后纺织设备已全部淘汰，圣祥染厂、虹天染厂等9个重点技改项目列入省""千项技改""项目库。

三是加快培育科技创新型企业。大力实施高新技术企业后备培育工程，2020年底纺织类高新技术企业达到13家，省级科技型中小企业达到450家。

四是加快提升园区承载能力。投资6.87亿元的园区基础设施及配套建设项目扎实推进，园区综合服务能力显著提升。

五是加快推进印染企业搬迁入园。按照""五联、六共、七智、八化""的发展思路，推进印染企业入园整合，加快构建绿色、低碳、循环发展的现代纺织产业体系。",http://www.gaoyang.gov.cn/info_show.asp?infoid=8879
58,2021年高阳成绩单,高阳县政府,2021,,纺织行业、产业集群,"2021年高阳县经济发展成绩单：纺织产业持续发展，循环经济示范区建设稳步推进，数字化转型加速推进。全县1895台落后纺织设备已全部淘汰，圣祥染厂、虹天染厂等9个重点技改项目列入省""千项技改""项目库。纺织类高新技术企业达到13家，省级科技型中小企业达到450家。",http://www.gaoyang.gov.cn/info_show.asp?infoid=9117
59,高阳县国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要（2021年）,高阳县人民政府,2021-02,,纺织行业、产业集群、政策支持、数字经济,"高阳县国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要（2021年2月5日高阳县第十七届人民代表大会第五次会议批准）

第四章 贯彻新发展理念，构建现代产业新体系
第一节 做大做强特色产业集群
一、做强毛巾毛毯纺织产业集群
二、做优汽车农机装备制造产业集群
三、做大电器电料电力设备制造产业集群

第五章 坚持创新驱动，增强高质量发展新动能
第一节 提升企业创新能力
一、强化企业创新主体地位
二、推动企业协同创新发展
三、加强科技创新成果转化

第二节 激发人才创新活力
一、聚集优秀高端人才
二、加大人才培养力度
三、优化人才发展环境

第三节 优化全县创新动力
一、加快创新机制改革
二、完善科技创新服务
三、落实优惠扶持政策",https://gaoyang.gov.cn/gk/atm/7/2023041709392644.pdf
60,卡缦公司研发出双层褶皱中空纱并获得专利,上游新闻,2022,,毛巾产业、品牌建设,在试验了多种织物组织后，2022年研发出双层褶皱中空纱并获得专利。卡缦公司设计总监史树雷基于毛巾织机特点研发的一款新产品，与普通床品织机相比，毛巾织机可纺织特殊的织物组织。这款装饰布不仅设计了蕾丝花型，且可织出仿蕾丝花边的立体效果。,https://www.thxww.com.cn/shengnei/18418.html
61,截至2022年高阳县GDP完成122.1亿元,百度百科,2022,,纺织行业、产业集群,截至2022年，全县地区生产总值完成1221091万元，同比增长4.2%。其中，第一产业增加值完成78171万元，同比增长5.9%；第二产业增加值完成595780万元，同比增长3.9%；第三产业增加值完成547140万元，同比增长4.2%。高阳纺织产业集群入选2023年度全国中小企业特色产业集群名单，2022年底产值达530亿元。,https://m.baike.com/wiki/高阳县/933244
62,2022年高阳这样干,高阳县政府,2022,,纺织行业、产业升级、环保治理,"2022年高阳县发展规划：加快纺织产业转型升级，推进循环经济示范区建设，推动数字化转型。围绕""五联、六共、七智、八化""的发展思路，推进印染企业入园整合，加快构建绿色、低碳、循环发展的现代纺织产业体系。",http://www.gaoyang.gov.cn/info_show.asp?infoid=9118
63,高阳纺织产业数字化服务平台上线运营（2023年7月）,高阳县政府,2023-07,,纺织行业、数字化转型、产业集群,"高阳纺织产业数字化服务平台于2023年7月上线运营，集聚了高阳县及周边纺织全产业链资源，可提供线上线下融合的一站式服务，推动高阳纺织产业数字化转型。该平台为原材料采购、成品库存、生产订单等数据提供实时更新的数字化管理，是""数字高阳""建设的重要组成部分。同年，高阳数字云展馆也集中上线运营，有效整合专家、法律支持、融资产品，为企业提供全方位服务。",https://www.cntac.org.cn/zixun/hangye/202408/t20240827_4355864.html
64,高阳县2023年纺织产业集群产值达579亿元,经济日报,2023,,纺织行业、产业集群,"2023年高阳县纺织产业集群年产值达到579亿元，占全县工业总产值的75%左右。高阳县是著名的""纺织之乡""，400多年传承不衰，是全国最大的毛巾生产基地。经过多年发展，高阳纺织产业已经构建起""链条全、规模大、品类多、效益优""的毛巾纺织产业集群，形成集""纺纱、织造、印染、后整、销售""于一体的完整产业链条。",https://m.chinanews.com/wap/detail/chs/zw/10118060.shtml
65,"河北高阳：培育高价值发明专利 打造纺织产业高质量发展新""引擎""",央广网,2023-11-06,,毛巾产业、品牌建设、创新研发、专利,"近日，在中国家用纺织品行业协会举办的2023首届中国家纺科技创新大会上，河北省高阳县河北瑞春纺织品公司自主研发的《一种变化网格底组织提花毛巾及生产方法》发明专利，凭借其突出的创新性和实用性荣获优秀奖，这也是此次大会上河北省纺织产业发明专利类唯一获奖项目。据该公司经理张瑞春介绍，该专利技术从织物组织方面创新，通过改变传统毛巾三纬组织工艺让毛巾花型呈现二维的立体效果，再配上精梳特纺的超柔纱做毛圈，产品不但美观而且超柔实用，深受消费者的欢迎，目前应用该专利技术的毛巾产品为该企业新增销售收入达1800多万元。该县一直注重纺织产业研发工作，不断推动技术革新和产品创新，积极开发具有自主知识产权的新型毛巾产品和研发新型毛巾生产工艺，""御题棉花图""织锦、带有""身份证""的有机棉毛巾、会""唱""曲的毛巾等一批个性化定制、具有自主知识产权的创意产品纷纷面市。该县还通过不断推进""知识产权信息进企业促创新""活动，优化落实专利资助政策，结合知识产权强企提升、知识产权产业引领、专利转化等专项行动，精准指导和服务对接企业，开展知识产权管理体系贯标培育，加大高价值专利培育力度。为催生出更多的高价值发明专利，激发企业创新活力，该县不断健全纺织产业专利培育机制，通过与东华大学、天津工业大学、河北科技大学等大专院校紧密合作，引导企业建立产学研协同创新，开展订单式研发和投放式创新，形成一批引领产业高质量发展的高价值专利组合。该县已建立企业研发机构33家，纺织企业自主创建各级技术中心17个，企业研发投入从最初的不足2%提升到现在的10%，远超国内同行业水平。目前，该县拥有纺织类中国驰名商标4个，河北省著名商标17个，河北省名牌和优质产品14个，自主产品标识11000个，品牌拥有量在河北省县级中名列前茅。",http://m.toutiao.com/group/7298311437389529663/
66,2023年高阳县快递业务量25483.91万件，同比增长51.12%,中国新闻网,2023,,电子商务、毛巾产业,"2023年高阳县快递业务量25483.91万件，同比增长51.12%，业务量排名全市第一，全省第二。目前各大电商平台上，高阳参与""直播""的企业在2000家以上，纺织业年网上交易额达50亿元。三利毛巾2008年成为某电商平台第一批自营商家，2014年着重在电商领域发力后，目前其已成为电商家纺类目头部品牌。",https://www.chinanews.com.cn/cj/2024/09-12/10284615.shtml
67,"河北高阳获评""中国家纺（毛巾）研发基地""",中国新闻网,2023-07-13,,毛巾产业、品牌建设、创新研发,"7月12日上午，中国家用纺织品行业协会年会在""中国纺织之乡""河北省高阳县召开。活动期间，高阳县被中国家用纺织品行业协会评为""中国家纺（毛巾）研发基地""。近年来，高阳县通过研发拓展毛巾品类，从传统的棉纺织到现代的高附加值纤维制造和绿色纺织技术研发，不断提升产品质量和技术水平，开发出超细纤维产品（干发巾、珊瑚绒等）、无纺布一次性棉柔巾、压缩毛巾、文创毛巾（昆曲、脸谱、墨染江南、草木染等创意毛巾）等产品，推动纺织企业实现高质量发展。高阳县积极推动技术革新和产品创新，深入开发具有自主知识产权的新型毛巾产品。此次获授""中国家纺（毛巾）研发基地""，对于加强高阳县纺织产品的创新能力、推动纺织产业的技术升级和转型发展，将起到极大推动作用。目前，该县已建立企业研发机构33家，引进国内外先进无梭织机9000余台套，建成省级数字化车间4个、省级""专精特新""企业16家。全县年产毛巾50亿条、毛毯4.5万吨，毛巾、毛毯产销量占全国市场份额的三分之一。",http://m.chinanews.com/wap/detail/cht/zw/ft272367.shtml
68,"小城纺织有""智慧""——河北高阳毛巾纺织产业集群建设调查",经济日报,2023-11-26,,纺织行业、数字化转型、产业集群、环保治理,"有着400余年纺织史的高阳，继获得""中国纺织之乡""""中国毛巾·毛毯名城""""中国家纺(毛巾)研发基地""等名片后，其毛巾纺织产业集群入选2023年度全国中小企业特色产业集群名单，2022年底产值达530亿元。高阳县上线了毛巾纺织集群数字化工业互联网平台，通过数字链接全产业链，实现集群产供销一体化协同协作，目前共上线企业300多家，深度合作企业200多家，链接企业产能设备1.5万台、成品库存41.91亿件；推进企业数字化车间改造，建成4个省级数字化车间，引入企业数字化业务信息系统，生产效率提升20%，运营成本降低15%。高阳县建成了纺织印染、污水处理、热能回收、再生水利用、集中供热、余热发电、渣灰制砖""七位一体""的循环经济产业链，今年将42家印染企业迁入循环经济园区。",https://m.chinanews.com/wap/detail/chs/zw/10118060.shtml
69,高阳县毛巾纺织入选全国中小企业特色产业集群,工业和信息化部,2023-11-26,,毛巾产业、产业集群、品牌建设,"10月10日，《2023年度中小企业特色产业集群名单》公示期满，全国共有100个产业集群入选，高阳县毛巾纺织产业集群名列其中。高阳县是著名的""纺织之乡""，400多年传承不衰，是全国最大的毛巾生产基地。经过多年发展，高阳纺织产业已经构建起""链条全、规模大、品类多、效益优""的毛巾纺织产业集群，形成集""纺纱、织造、印染、后整、销售""于一体的完整产业链条，拥有从纺织原材料、织机、配件供应到设计研发、质量检测、物流配送等齐全的配套体系，产业链配套率达89%。目前，集群拥有纺织企业上千家，其中产值过亿元的企业20家，规上企业122家，纺织专业村158个，各类纺织机械3万余台（套）。截至2022年底，集群产值达到530亿元，成功打造了""高阳毛巾""区域品牌，品牌价值为519.80亿元，品牌强度为805.6。集群拥有纺织类中国驰名商标4个，河北省著名商标17个，河北省名牌和优质产品14个，自主产品标识11000个。",https://gaoyang.gov.cn/info_show.asp?infoid=10382
70,河北民营企业出海记｜一条毛巾，圈粉40多个国家和地区,河北省政府,2024-12-14,,毛巾产业、外贸出口、跨境电商,"日前，一个发自中国青岛港的集装箱顺利抵达南非开普敦港，其中装载的各类毛巾将丰富当地市场。万里之遥的中国，在河北省保定市高阳县东飞纺织品有限公司，32岁的经理李希桐郑重地在世界地图的南非位置做了标注，公司的海外市场又添新伙伴。地图上，像这样的标注已有40多个，每一个都代表着东飞产品到达的国家或地区。""立足国内，走向世界""，这是东飞公司30多年前成立时就确定的发展方向。当时的高阳，民营纺织企业异军突起，李希桐的父母敏锐地抓住机遇，由经销毛巾转向自己办厂生产，并努力缩小当地产品与国际先进产品的差距。设计上，从欧式风格床品中获取灵感，为毛巾增加大花边等辅料；设备上，高薪聘请技术人员将普通国产织机改造为提花机，生产出更具特色的提花或缎档巾类产品。几年前，当李希桐、李嘉成姐弟陆续大学毕业并接手公司时，面对的已是一个全新局面：意大利进口织机和法国提花机助力生产；不仅200多款花形各异的巾类产品畅销国内，公司也凭借自主进出口权在海外市场站稳了脚跟。2023年春季，疫情后首届线下广交会如期举行。来自东南亚、非洲、欧洲等地的老客户纷纷回归，海外市场的需求变了：除了传统的带辅料类产品外，素色尤其是亮橙色、亮黄色、深蓝色、深红色等高饱和度颜色产品，正逐渐成为新宠。东飞公司积极寻求与本地染厂龙头企业合作，经过多次试验与打样，终于攻克了技术难题。跨境电商的发展为东飞公司带来了线上出海的机遇。他们在天猫国际、亚马逊等知名外贸电商平台开设直播间，引来""世界流量""。李希桐说，今年公司的外贸销售情况不错，销售额突破5000万元大关，比去年翻了一番。",https://www.hebei.gov.cn/columns/580d0301-2e0b-4152-9dd1-7d7f4e0f4980/202412/14/f4fb9547-1823-4fff-9e14-4e6206e28e0d.html
71,"保定高阳：小毛巾""织""出大产业",高阳县政府,2024-12-03,,毛巾产业、数字化转型、环保治理、品牌建设,"高阳县贯彻落实党的二十届三中全会精神，加快用数智技术、绿色技术改造提升纺织产业。在高阳县巾巾乐道产业育城中心的高阳纺织产业数字化服务平台上，原材料采购、成品库存、生产订单等数据实时更新。该平台于2023年7月上线，集聚了高阳县及周边纺织全产业链资源。高阳县充分发挥柏立信、图强、圣翔、宏润4个省级数字化车间示范引领作用。数据显示，通过数字化改造后，企业生产效率提升20%，运营成本降低15%，产品升级周期缩短12%。三利集团与东华大学合作建设创新研发中心；瑞春纺织公司与天津工业大学建立产学研合作基地。高阳县引导纺织企业与北方昆曲剧院、河北大学、天津工业大学等合作，提升工业设计水平。近年来，高阳县陆续培育""专精特新""中小企业14家、企业研发机构23个。",https://gaoyang.gov.cn/info_show.asp?infoid=11003
72,"经济强省 美丽河北·一线观察丨保定高阳：小毛巾""织""出大产业",高阳县政府,2024-12-12,,毛巾产业、数字化转型、环保治理、产业集群、电子商务,"高阳县贯彻落实党的二十届三中全会精神，加快用数智技术、绿色技术改造提升纺织产业，形成织造、印染、后整、销售于一体的产业链条，打造高水平纺织产业集群。高阳纺织产业数字化服务平台于2023年7月上线，集聚了高阳县及周边纺织全产业链资源。高阳县充分发挥柏立信、图强、圣翔、宏润4个省级数字化车间示范引领作用，带动纺织产业集群转型提升。纺织企业通过引入ERP、MES等系统，打通设备、系统、人员间的信息壁垒。数据显示，通过数字化改造后，企业生产效率提升20%，运营成本降低15%，产品升级周期缩短12%。三利集团与东华大学合作建设创新研发中心，成功研发活性色纱氧漂技术、棉纤维低温活性水漂白技术；瑞春纺织公司与天津工业大学建立产学研合作基地。近年来，高阳县陆续培育""专精特新""中小企业14家、企业研发机构23个。截至目前，高阳县纺织企业拥有发明专利83项、外观专利372项、商标14267个。",https://gaoyang.gov.cn/info_show.asp?infoid=11022
73,"保定市：小城大产业向""智""而行",保定晚报,2024-08-12,,纺织行业、数字化转型、产业集群,"在中国纺织之乡高阳县，这座县域面积441平方公里、常住人口32万余人的北方小城，拥有纺织生产企业4000余家，从业人员12万余人。该县数字化转型让传统纺织产业脱胎换骨，2023年实现营业收入579亿元。全国每生产3条毛巾，就有1条出自高阳县，纺织成为高阳县富民增收的重要产业。目前该县具备出口资质的企业达427家，产品出口到全球150多个国家和地区。高阳县先后被评为中国纺织之乡、中国毛毯之乡、中国纺织基地县、中国毛巾·毛毯名城、国家外贸转型升级示范基地县、中国家纺巾被流通示范基地和中国领航创新产业集群。搭乘数字化列车，高阳县着力打造柏立信、图强、圣翔、宏润4个""省级数字化车间""。发挥示范引领作用，带动产业集群整体转型提升，同时建立毛巾产业数字化服务平台，打造纺织""产业大脑""。目前，全县60%的纺织企业进行数字化改造，生产效率提高了15%，年产毛巾达50亿条，平均每秒生产毛巾158条。柏立信智能化气息扑面而来，大型织造车间内，数十台进口织机在电脑的控制下精准运转；后整车间里，全自动横、纵缝机快速锁缝毛巾，不见工人劳作的身影。与之前比产量和质量实现了双提升，比如安装横缝机后，以前需要30名工人，现在3名就可以了。",https://gxt.hebei.gov.cn/sme/sc/qyjj/2025042122063533771/index.html
74,高阳纺织企业自主创建各类技术中心10余个,高阳县工信局,2024,,纺织行业、品牌建设,"目前高阳纺织企业自主创建各类技术中心10余个，省级工业设计中心1个，企业研发投入从最初的不足2%提升到现在的10%。从花型到材料，创意设计让高阳毛巾演绎出百变花样。""过去比产量，靠辛苦赚钱；现在拼品质，靠设计出彩。""高阳县科学技术和工业信息化局副局长任帅介绍。每个月仅注册版权保护的原创设计就有300多个。",http://m.toutiao.com/group/756066509795847875/
75,河北唯一！高阳县成为国家循环经济示范县,高阳县政府,2024-02-06,,循环经济、环保治理、产业集群,"日前，国家发改委办公厅通报循环经济领域部分试点示范验收成果，河北高阳县循环经济示范县建设顺利通过国家发展改革委验收，成为河北省唯一一个国家循环经济示范县。高阳县积极探索循环经济发展新模式、新路径，于2013年被列为首批国家级循环经济示范县创建单位。目前，污水处理厂日处理污水能力26万吨，出水稳定达标排放，入淀河流水质达到地表水Ⅲ类水标准。通过建设再生水利用工程，污水处理后用于印染项目，形成了纺织产业新鲜水零消耗及废水零排放""双零""模式。高阳县规模以上工业企业全部实施清洁生产，25蒸吨以下燃煤锅炉全部淘汰。引导产业转型升级：从2013年到2023年，高阳县高新技术企业由3家增长到61家，河北省科技型中小企业由40家增长到720家，省级科技创新平台从3个增长到13个。",https://gaoyang.gov.cn/info_show.asp?infoid=10503
76,高阳县2023年地区生产总值增长报告,高阳县政府,2024-01-23,,纺织行业、产业集群、环保治理,"2023年，面对严峻复杂的外部形势和繁重艰巨的发展任务，面对空前强降雨导致的特大汛情，高阳县坚持以习近平新时代中国特色社会主义思想为指导，积蓄势能，转型突破，经济社会发展各项事业取得新进展新成效，""雄安卫星城、美丽新高阳""建设迈出坚实步伐。聚焦创新发展，强链条、调结构，产业实力实现新跃升。聚焦协调发展，强统筹、夯基础，城乡品质实现新跃升。聚焦绿色发展，强治理、促循环，环境质量实现新跃升。",https://gaoyang.gov.cn/info_show.asp?infoid=10477
77,"""高阳优品""""纺""遍全国",中国邮政快递报,2024-12-04,,毛巾产业、品牌建设、电子商务,"河北省保定市高阳县县域经济发达，特色明显，素有""纺织之乡""的美誉，年产毛巾50亿条、毛毯4.5万吨，约占全国毛巾、毛毯总产量的1/3。近年来，高阳县纺织产业求新求变，打造""高阳优品""集体品牌，孵化电商企业200多家、电商店铺5000余个，3000余家毛巾厂商开展直播带货业务。2023年，高阳县启动""高阳优品""集体品牌建设，推动纺织产业向品牌化、高端化、数字化转型，加快打造世界""纺""客目的地。当年，该县纺织产业集群年产值达到579亿元，占全县工业总产值的75%左右。高阳县先后出台《高阳县电子商务发展三年行动方案》和《高阳县跨境电子商务发展行动计划》，依托邦辰创业辅导基地、一桶金科技创业辅导公司、益贝优创业孵化基地等，孵化电商企业200多家。2023年高阳县快递业务总量2.55亿件，排名全市第一位。2024年1至10月，高阳县快递业务量2.83亿件，同比增长34.88%，居全市第一位，全省第二位。",https://www.spb.gov.cn/gjyzj/c100196/202412/56ca66d70b7d4b278b3233c8165a8508.shtml
78,河北高阳小毛巾织出大未来,上游新闻,2024-09-21,,毛巾产业、品牌建设、电子商务,"高阳县有着""中国纺织之乡""的美誉，这里年产毛巾35万吨，拥有全国最大的毛巾专业批发市场——高阳纺织商贸城。高阳现有纺织专业村158个、纺织企业4200余家，2023年纺织产业集群年产值达到579亿元，占全县工业总产值的75%左右。其次，品牌建设取得了长足进步。高阳县拥有纺织类中国驰名商标4个，还拥有一大批河北省名牌和优质产品、自主产品标识等，2023年高阳纺织（毛巾）产业集群列入河北省以及国家级中小企业特色产业集群行列。此外，企业运营销售方式灵活，销售产品遍及国内外，销售渠道逐渐丰富，除了传统的批发市场、大型连锁店、大型商超等销售渠道，线上销售也在逐渐增多。政府也大力推动纺织产业数字化转型。",http://www.ctdsb.net/c1666_202409/2260564.html
79,从传统纺织到智能织造，河北小城的蜕变之路,中国纺织工业联合会,2024-08-27,,纺织行业、数字化转型、环保治理、品牌建设,"4000多家纺织生产企业，12.5万从业者，贡献着当地一半以上的财政收入。虽然拥有着成熟产业链条，但长期以来，高阳纺织产业存在着人力成本攀升、粗放经营等问题。这也让当地意识到，""数智化""才是必由之路。为让数字化赋能每一家企业，2023年7月份，""高阳纺织产业数字化服务平台""和""高阳数字云展馆""集中上线运营，有效整合专家、法律支持、融资产品，为企业提供全方位服务。柏立信开始成立自有品牌，凭借过硬的制造实力和独特的设计，逐步打开销量。""目前公司的自有品牌在沃尔玛、亚马逊等平台均有销售，利润率比之前做代工时翻了几倍。""环保压力下，这些年，高阳建成日处理能力26万吨的污水处理厂，解决了""水""的问题；建设完成年产蒸汽280万吨的集中供热项目，解决了""气""的问题。2023年10月，工信部公布2023年度中小企业特色产业集群名单，河北省保定市高阳县毛巾纺织成功入选。",https://www.cntac.org.cn/zixun/hangye/202408/t20240827_4355864.html
